"lon","lat","depth"
-88.2775,49.091667,-0.232501
-88.286667,49.090833,-0.232501
-88.280833,49.090833,-0.232501
-88.28,49.090833,-0.232501
-88.325833,49.09,-0.232928
-88.285,49.09,-0.232501
-88.326667,49.089167,-0.232944
-88.2875,49.089167,-0.232501
-88.286667,49.089167,-0.232501
-88.325,49.088333,-0.232913
-88.324167,49.088333,-0.232898
-88.278333,49.088333,-0.232501
-88.2875,49.0875,-0.232501
-88.284167,49.0875,-0.232501
-88.281667,49.0875,-0.232501
-88.275,49.0875,-0.232501
-88.286667,49.086667,-0.232501
-88.285,49.086667,-0.232501
-88.283333,49.086667,-0.232501
-88.281667,49.086667,-0.232501
-88.280833,49.086667,-0.232501
-88.274167,49.086667,-0.232501
-88.2875,49.085833,-0.232501
-88.286667,49.085833,-0.232501
-88.2825,49.085833,-0.232501
-88.273333,49.085833,-0.232501
-88.281667,49.085,-0.232501
-88.280833,49.085,-0.232501
-88.274167,49.085,-0.232501
-88.273333,49.085,-0.232501
-88.28,49.084167,-0.232501
-88.274167,49.084167,-0.232501
-88.273333,49.084167,-0.232501
-88.290833,49.083333,-0.232501
-88.284167,49.083333,-0.232501
-88.2825,49.083333,-0.232501
-88.280833,49.083333,-0.232501
-88.279167,49.083333,-0.232501
-88.274167,49.083333,-0.232501
-88.273333,49.083333,-0.232501
-88.2825,49.0825,-0.232501
-88.279167,49.0825,-0.232501
-88.275833,49.0825,-0.232501
-88.274167,49.0825,-0.232501
-88.286667,49.081667,-0.232501
-88.283333,49.081667,-0.232501
-88.2875,49.080833,-0.232501
-88.286667,49.080833,-0.232501
-88.285833,49.080833,-0.232501
-88.2875,49.08,-0.232501
-88.285833,49.08,-0.232501
-88.281667,49.08,-0.232501
-88.275833,49.08,-0.232501
-88.2875,49.079167,-0.232501
-88.275,49.079167,-0.232501
-88.2725,49.079167,-0.232501
-88.285,49.0775,-0.232501
-88.273333,49.0775,-0.232501
-88.270833,49.0775,-0.232501
-88.285,49.076667,-0.232501
-88.273333,49.076667,-0.232501
-88.271667,49.076667,-0.232501
-88.27,49.076667,-0.232501
-88.269167,49.076667,-0.232501
-88.283333,49.075833,-0.232501
-88.281667,49.075833,-0.232501
-88.275,49.075833,-0.232501
-88.271667,49.075833,-0.232501
-88.27,49.075833,-0.232501
-88.268333,49.075833,-0.232501
-88.308333,49.075,-0.232654
-88.281667,49.075,-0.232501
-88.271667,49.075,-0.232501
-88.27,49.075,-0.232501
-88.309167,49.074167,-0.232669
-88.281667,49.0725,-0.232501
-88.269167,49.0725,-0.232501
-88.268333,49.0725,-0.232501
-88.285833,49.071667,-0.232501
-88.2825,49.071667,-0.232501
-88.285833,49.070833,-0.232501
-88.285,49.070833,-0.232501
-88.284167,49.070833,-0.232501
-88.274167,49.070833,-0.232501
-88.27,49.070833,-0.232501
-88.285833,49.07,-0.232501
-88.285,49.07,-0.232501
-88.279167,49.07,-0.232501
-88.276667,49.07,-0.232501
-88.31,49.0675,-0.232715
-88.308333,49.0675,-0.232684
-88.303333,49.0675,-0.232578
-88.285833,49.0675,-0.232501
-88.2725,49.0675,-0.232501
-88.308333,49.066667,-0.232684
-88.2975,49.066667,-0.232501
-88.296667,49.066667,-0.232501
-88.2725,49.066667,-0.232501
-88.296667,49.065833,-0.232501
-88.285833,49.065833,-0.232501
-88.284167,49.065833,-0.232501
-88.280833,49.065833,-0.232501
