Degree,x,y,mean_x,mean_y
Chemistry M.S.,-1.6975210643219716,-0.8733482032917852,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.270765516798473,-0.41913315354813285,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.1723791098999745,-2.0377535492085332,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-0.6063708997177846,-0.11289879380692192,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.4496005511688954,-0.01846286355484672,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.4635349250244862,0.028232845673668905,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.7019477820801503,-0.023567405333411173,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.4370304084229237,-0.3901474147938604,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.8388875461029774,-1.1570913463734502,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.7656410670685536,-1.182281699767005,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.7396748996186024,-0.8678579002522344,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.5961135363983876,-0.9021095901631231,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-0.05219886068580215,3.798872265229333,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.7849684691834218,-0.2716450363301153,-1.4126585460114247,-0.6107105880879278
Civil Engineering M.S.,-5.097189281027294,-1.028654065718543,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,-5.099960658590771,-1.032445159544837,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,0.9736494683814281,0.5111005634165888,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,2.011537458856129,0.8327615588999873,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,2.038851406533741,0.41485289038192086,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.6494677328658336,0.7937362521983271,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.7053276562285655,0.9684942096568232,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.977599527795338,0.6238410800791865,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.9278215431761974,0.6716430515147334,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.620146837193989,0.43830564917098336,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.9080214762282603,0.8041208118296748,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.8988350891661876,0.4900377124644404,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.65751072402718,0.6253850787974482,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.2523916029525035,0.6862981647349482,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.713709261376881,0.7943570941783076,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,-0.12723210815665786,2.76568058432113,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,1.1279324853015178,2.3336732715464716,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,-0.16433903936622207,2.801673206696618,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,-0.15904531244514053,2.292532238373864,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,-0.270480785410381,2.2148721546031123,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,0.17223593230965073,3.453758510956872,1.3009445333075755,0.9137986034251337
Civil Engineering M.S.,-1.6580139136719472,0.5984475940562373,1.3009445333075755,0.9137986034251337
